Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
10,10,9.7818E-06,9.73703E-05,1.85276E-06,0.282366683,0.282365889,0.282266666,7.9401E-07,1.8441E-05,0.000136377,2.56444E-06,0.282352093,0.282350505,0.282211563,1.58794E-06,2.62862E-05,0.000164882,3.05853E-06,0.282339097,0.282336716,0.282168775,2.3818E-06,A
10,10,8.70539E-06,9.62939E-05,1.84208E-06,0.306188862,0.306188704,0.306090568,1.58802E-07,1.80043E-05,0.00013594,2.55959E-06,0.30617417,0.306174012,0.306035512,1.58794E-07,2.50961E-05,0.000163692,3.04982E-06,0.30616133,0.306161171,0.30599443,1.58786E-07,C
20,10,4.26405E-06,6.67055E-05,1.28106E-06,0.282375498,0.282375181,0.282307194,3.17614E-07,8.05242E-05,0.000327896,5.79878E-06,0.282264327,0.28225639,0.281922695,7.93722E-06,1.33264E-05,0.000115432,2.18406E-06,0.282359444,0.282358332,0.282240716,1.11158E-06,A
40,10,2.32819E-06,4.72627E-05,9.05191E-07,0.282380647,0.282380488,0.28233232,1.5881E-07,4.25358E-05,0.000229198,4.20968E-06,0.282315387,0.282311417,0.282078009,3.96933E-06,7.00929E-05,0.000303846,5.42592E-06,0.28227638,0.282269553,0.281960281,6.8263E-06,C
20,10,4.69778E-06,6.71393E-05,1.28715E-06,0.306197621,0.306197463,0.306129036,1.58807E-07,7.73771E-05,0.000324749,5.77387E-06,0.306086565,0.306086407,0.305755884,1.58744E-07,1.24305E-05,0.000114536,2.17412E-06,0.306181544,0.306181385,0.306064675,1.58798E-07,A
40,10,2.55001E-06,4.74846E-05,9.08341E-07,0.306202754,0.306202595,0.306154202,1.5881E-07,4.10742E-05,0.000227737,4.1996E-06,0.306137632,0.306137473,0.305905537,1.58773E-07,6.948E-05,0.000303234,5.42586E-06,0.306098623,0.306098464,0.305789805,1.58751E-07,C
10,20,1.28255E-06,8.88075E-06,1.81523E-07,0.021438459,0.021438411,0.021429348,4.82276E-08,2.26681E-06,1.28649E-05,2.58612E-07,0.021434119,0.021434071,0.021420947,4.82179E-08,3.34472E-06,1.59596E-05,3.14199E-07,0.021430095,0.021430047,0.021413773,4.82088E-08,B
10,50,9.27033E-07,6.65664E-06,1.31837E-07,0.015289437,0.015289222,0.015282433,2.14968E-07,1.63571E-06,9.62348E-06,1.87701E-07,0.015270064,0.015269849,0.015260038,2.14696E-07,2.41002E-06,1.19208E-05,2.27888E-07,0.015252098,0.015251883,0.015239735,2.14443E-07,B
10,80,9.36362E-07,6.75281E-06,1.33934E-07,0.015245333,0.015244785,0.015237898,5.48731E-07,1.64739E-06,9.75697E-06,1.90457E-07,0.015195738,0.015195191,0.015185243,5.46945E-07,2.421E-06,1.20767E-05,2.30947E-07,0.015149746,0.0151492,0.015136893,5.4529E-07,B
10,100,5.64973E-07,4.39294E-06,8.117E-08,0.009122774,0.009122261,0.009117786,5.13061E-07,9.91374E-07,6.32249E-06,1.15298E-07,0.009076277,0.009075767,0.009069329,5.10446E-07,1.45347E-06,7.80498E-06,1.39651E-07,0.00903316,0.009032652,0.009024707,5.08021E-07,B
20,20,6.10496E-07,6.09901E-06,1.26915E-07,0.021441069,0.021441021,0.021434795,4.82335E-08,1.00296E-05,3.17942E-05,5.80605E-07,0.021407443,0.021407395,0.02137502,4.81578E-08,1.63068E-06,1.0701E-05,2.17364E-07,0.02143638,0.021436332,0.021425413,4.82229E-08,B
20,50,4.41759E-07,4.57988E-06,9.22157E-08,0.015301089,0.015300874,0.015296202,2.15132E-07,7.17121E-06,2.35849E-05,4.19443E-07,0.015150974,0.015150761,0.015126757,2.13021E-07,1.17763E-06,8.01225E-06,1.57823E-07,0.015280157,0.015279942,0.015271772,2.14837E-07,B
20,80,4.47019E-07,4.64766E-06,9.37536E-08,0.015275164,0.015274614,0.015269872,5.49804E-07,7.10239E-06,2.37669E-05,4.22005E-07,0.014890869,0.014890333,0.014866145,5.35972E-07,1.18775E-06,8.12648E-06,1.60248E-07,0.015221576,0.015221028,0.015212742,5.47875E-07,B
20,100,2.70159E-07,3.0341E-06,5.68586E-08,0.009150739,0.009150225,0.009147134,5.14634E-07,4.20771E-06,1.51752E-05,2.53475E-07,0.008790463,0.008789969,0.00877454,4.94372E-07,7.15712E-07,5.27497E-06,9.7071E-08,0.009100501,0.009099989,0.009094617,5.11809E-07,B
40,20,3.30611E-07,4.27246E-06,8.92467E-08,0.021442594,0.021442546,0.021438184,4.82369E-08,5.36085E-06,2.15655E-05,4.14911E-07,0.021423184,0.021423136,0.021401155,4.81933E-08,8.92425E-06,2.91853E-05,5.37008E-07,0.021410902,0.021410854,0.021381131,4.81656E-08,B
