Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
10,20,5.45E-06,5.45E-06,1.09E-07,0.00756875,0.007562417,0.007556859,6.33E-06,7.65E-06,7.65E-06,1.54E-07,0.00756875,0.007558078,0.007550278,1.07E-05,9.07E-06,9.07E-06,1.83E-07,0.00756875,0.007554053,0.007544801,1.47E-05,Vasteras
10,50,3.96E-06,3.96E-06,7.93E-08,0.00540625,0.005377979,0.005373938,2.83E-05,5.56E-06,5.56E-06,1.12E-07,0.00540625,0.005358605,0.005352936,4.76E-05,6.59E-06,6.59E-06,1.33E-07,0.00540625,0.00534064,0.005333914,6.56E-05,Vasteras
10,80,4.03E-06,4.03E-06,8.08E-08,0.00540625,0.005333875,0.005329764,7.24E-05,5.65E-06,5.65E-06,1.14E-07,0.00540625,0.005284279,0.00527851,0.000121971,6.71E-06,6.71E-06,1.36E-07,0.00540625,0.005238287,0.005231443,0.000167963,Vasteras
10,100,2.45E-06,2.45E-06,4.90E-08,0.00324375,0.003175899,0.003173403,6.79E-05,3.43E-06,3.43E-06,6.94E-08,0.00324375,0.003129402,0.003125901,0.000114348,4.07E-06,4.07E-06,8.24E-08,0.00324375,0.003086285,0.003082131,0.000157465,Vasteras
20,20,3.94E-06,3.94E-06,7.83E-08,0.00756875,0.007565027,0.007561008,3.72E-06,1.56E-05,1.56E-05,3.17E-07,0.00756875,0.007531402,0.007515493,3.73E-05,6.56E-06,6.56E-06,1.32E-07,0.00756875,0.007560338,0.007553647,8.41E-06,Vasteras
20,50,2.86E-06,2.86E-06,5.70E-08,0.00540625,0.005389631,0.00538671,1.66E-05,1.13E-05,1.13E-05,2.31E-07,0.00540625,0.005239516,0.005227951,0.000166734,4.77E-06,4.77E-06,9.60E-08,0.00540625,0.005368698,0.005363834,3.76E-05,Vasteras
20,80,2.91E-06,2.91E-06,5.80E-08,0.00540625,0.005363705,0.005360733,4.25E-05,1.15E-05,1.15E-05,2.35E-07,0.00540625,0.004979411,0.004967643,0.000426839,4.85E-06,4.85E-06,9.77E-08,0.00540625,0.005310118,0.005305169,9.61E-05,Vasteras
20,100,1.77E-06,1.77E-06,3.52E-08,0.00324375,0.003203864,0.00320206,3.99E-05,7.00E-06,7.00E-06,1.43E-07,0.00324375,0.002843588,0.002836445,0.000400162,2.94E-06,2.94E-06,5.93E-08,0.00324375,0.003153626,0.003150622,9.01E-05,Vasteras
40,20,2.82E-06,2.82E-06,5.56E-08,0.00756875,0.007566553,0.007563673,2.20E-06,1.16E-05,1.16E-05,2.36E-07,0.00756875,0.007547142,0.007535272,2.16E-05,1.45E-05,1.45E-05,2.94E-07,0.00756875,0.00753486,0.0075201,3.39E-05,Vasteras
40,50,2.05E-06,2.05E-06,4.04E-08,0.00540625,0.00539644,0.005394348,9.81E-06,8.46E-06,8.46E-06,1.72E-07,0.00540625,0.005309788,0.005301159,9.65E-05,1.05E-05,1.05E-05,2.14E-07,0.00540625,0.005254956,0.005244226,0.000151294,Vasteras
40,80,2.09E-06,2.09E-06,4.11E-08,0.00540625,0.005381137,0.005379008,2.51E-05,8.61E-06,8.61E-06,1.75E-07,0.00540625,0.005159307,0.005150526,0.000246943,1.07E-05,1.07E-05,2.17E-07,0.00540625,0.005018938,0.005008019,0.000387312,Vasteras
40,100,1.27E-06,1.27E-06,2.50E-08,0.00324375,0.003220207,0.003218915,2.35E-05,5.22E-06,5.22E-06,1.06E-07,0.00324375,0.003012241,0.003006911,0.000231509,6.50E-06,6.50E-06,1.32E-07,0.00324375,0.002880645,0.002874018,0.000363105,Vasteras
10,20,2.15E-06,7.60E-06,1.67E-07,0.021438459,0.021436506,0.021428741,1.95E-06,2.95E-06,1.06E-05,2.34E-07,0.021434119,0.021430786,0.021419954,3.33E-06,3.55E-06,1.26E-05,2.80E-07,0.021430095,0.021425537,0.021412642,4.56E-06,Enkoping
