,Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
0,10,20,4.84046E-05,4.84046E-05,1.00078E-06,0.00756875,0.007358549,0.007309144,0.000210201,0.000102441,0.000102441,2.00859E-06,0.00756875,0.004562517,0.004458068,0.003006233,0.000107649,0.000107649,2.04173E-06,0.00756875,0.003063497,0.002953806,0.004505253,Vasteras
1,10,50,3.5192E-05,3.5192E-05,7.27694E-07,0.00540625,0.004467854,0.004431934,0.000938396,7.44461E-05,7.44461E-05,1.46029E-06,0.00540625,0,0,0.00540625,7.82107E-05,7.82107E-05,1.48424E-06,0.00540625,0,0,0.00540625,Vasteras
2,10,80,3.58166E-05,3.58166E-05,7.40698E-07,0.00540625,0.003003956,0.002967399,0.002402294,7.57345E-05,7.57345E-05,1.48616E-06,0.00540625,0,0,0.00540625,7.95434E-05,7.95434E-05,1.51038E-06,0.00540625,0,0,0.00540625,Vasteras
3,10,100,2.17422E-05,2.17422E-05,4.49671E-07,0.00324375,0.000991599,0.000969408,0.002252151,4.59608E-05,4.59608E-05,9.02142E-07,0.00324375,0,0,0.00324375,4.82639E-05,4.82639E-05,9.16785E-07,0.00324375,0,0,0.00324375,Vasteras
4,20,20,3.31607E-05,3.31607E-05,6.81211E-07,0.00756875,0.007441267,0.007407425,0.000127483,9.72184E-05,9.72184E-05,1.97536E-06,0.00756875,0.006065634,0.00596644,0.001503116,9.96149E-05,9.96149E-05,1.99061E-06,0.00756875,0.005375875,0.005274269,0.002192875,Vasteras
5,20,50,2.41079E-05,2.41079E-05,4.95318E-07,0.00540625,0.004837127,0.004812524,0.000569123,7.06713E-05,7.06713E-05,1.43627E-06,0.00540625,0,0,0.00540625,7.24035E-05,7.24035E-05,1.44729E-06,0.00540625,0,0,0.00540625,Vasteras
6,20,80,2.45344E-05,2.45344E-05,5.04161E-07,0.00540625,0.003949296,0.003924258,0.001456954,7.19151E-05,7.19151E-05,1.46187E-06,0.00540625,0,0,0.00540625,7.36678E-05,7.36678E-05,1.47301E-06,0.00540625,0,0,0.00540625,Vasteras
7,20,100,1.48929E-05,1.48929E-05,3.06068E-07,0.00324375,0.001877856,0.001862657,0.001365894,4.36514E-05,4.36514E-05,8.87458E-07,0.00324375,0,0,0.00324375,4.47111E-05,4.47111E-05,8.94196E-07,0.00324375,0,0,0.00324375,Vasteras
8,40,20,2.40948E-05,2.40948E-05,4.93356E-07,0.00756875,0.007493857,0.007469269,7.48932E-05,9.46072E-05,9.46072E-05,1.95875E-06,0.00756875,0.006817192,0.006720626,0.000751558,9.65552E-05,9.65552E-05,1.97115E-06,0.00756875,0.006256506,0.006157979,0.001312244,Vasteras
9,40,50,1.75165E-05,1.75165E-05,3.58723E-07,0.00540625,0.005071905,0.00505403,0.000334345,6.87839E-05,6.87839E-05,1.42427E-06,0.00540625,0.00205108,0.001980871,0.00335517,7.0192E-05,7.0192E-05,1.43322E-06,0.00540625,0,0,0.00540625,Vasteras
10,40,80,1.78259E-05,1.78259E-05,3.65124E-07,0.00540625,0.004550328,0.004532137,0.000855922,7.00055E-05,7.00055E-05,1.44972E-06,0.00540625,0,0,0.00540625,7.14302E-05,7.14302E-05,1.45878E-06,0.00540625,0,0,0.00540625,Vasteras
11,40,100,1.08205E-05,1.08205E-05,2.21659E-07,0.00324375,0.002441323,0.002430281,0.000802427,4.24967E-05,4.24967E-05,8.80116E-07,0.00324375,0,0,0.00324375,4.33581E-05,4.33581E-05,8.85594E-07,0.00324375,0,0,0.00324375,Vasteras
0,10,20,1.84986E-05,6.69031E-05,1.51314E-06,0.021234591,0.021169561,0.021101145,6.50296E-05,4.68693E-05,0.00014931,3.19648E-06,0.018438559,0.017772776,0.017620269,0.000665783,4.40766E-05,0.000151726,3.08069E-06,0.016939538,0.016022888,0.015868081,0.000916651,Enkoping
1,10,50,1.5191E-05,5.0383E-05,1.07136E-06,0.014379312,0.014104089,0.014052635,0.000275223,3.71836E-05,0.00011163,1.98612E-06,0.009911458,0,0,0.009911458,3.41503E-05,0.000112361,2.01406E-06,0.009911458,0,0,0.009911458,Enkoping
2,10,80,1.5347E-05,5.11636E-05,1.03593E-06,0.012915414,0.012282572,0.012230373,0.000632842,3.76382E-05,0.000113373,2.02137E-06,0.009911458,0,0,0.009911458,3.46123E-05,0.000114156,2.04963E-06,0.009911458,0,0,0.009911458,Enkoping
3,10,100,1.18241E-05,3.35663E-05,5.98325E-07,0.006938474,0.006407259,0.006373094,0.000531216,2.73251E-05,7.32859E-05,1.22705E-06,0.005946875,0,0,0.005946875,2.40483E-05,7.23122E-05,1.24414E-06,0.005946875,0,0,0.005946875,Enkoping
4,20,20,1.34979E-05,4.66587E-05,1.05479E-06,0.021317308,0.021278956,0.021231243,3.8352E-05,4.94806E-05,0.000146699,3.31018E-06,0.019941675,0.019581646,0.019431637,0.000360029,4.83058E-05,0.000147921,3.2583E-06,0.019251916,0.018744843,0.018593664,0.000507074,Enkoping
5,20,50,1.10955E-05,3.52033E-05,7.54268E-07,0.014748586,0.014582747,0.014546789,0.000165839,4.00362E-05,0.000110708,1.9581E-06,0.009911458,0,0,0.009911458,3.87507E-05,0.000111154,1.97096E-06,0.009911458,0,0,0.009911458,Enkoping
6,20,80,1.12086E-05,3.5743E-05,7.43764E-07,0.013860755,0.013461764,0.013425277,0.00039899,4.04833E-05,0.000112398,1.99303E-06,0.009911458,0,0,0.009911458,3.92012E-05,0.000112869,2.00603E-06,0.009911458,0,0,0.009911458,Enkoping
7,20,100,8.64998E-06,2.35429E-05,4.38098E-07,0.007824731,0.007472794,0.007448813,0.000351937,3.04219E-05,7.40733E-05,1.20992E-06,0.005946875,0,0,0.005946875,2.90243E-05,7.37355E-05,1.21778E-06,0.005946875,0,0,0.005946875,Enkoping
8,40,20,9.50272E-06,3.35975E-05,7.55043E-07,0.021369898,0.021346878,0.021312525,2.30206E-05,3.58984E-05,0.000130506,2.94207E-06,0.020693234,0.02046919,0.020335742,0.000224044,4.97986E-05,0.000146354,3.32444E-06,0.020132547,0.019815228,0.01966555,0.000317319,Enkoping
