,Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
0,10,10,0.000602291,0.0013245,1.98313E-05,0.240781195,0.240713623,0.239369292,6.75718E-05,0.010728296,0.013305957,0.000129822,0.233139817,0.231834286,0.218398507,0.001305531,0.015498501,0.018124551,0.000160197,0.229011702,0.227089948,0.208805201,0.001921754,A
1,10,10,0.000517739,0.001239947,1.92348E-05,0.22849487,0.228494735,0.227235553,1.35414E-07,0.009129269,0.01170693,0.000119188,0.221025484,0.221025353,0.209199235,1.31117E-07,0.013153013,0.015779062,0.000144817,0.2169898,0.216989672,0.201065792,1.28795E-07,C
2,20,10,0.000314572,0.000855784,1.38631E-05,0.241065713,0.24103182,0.240162172,3.38936E-05,0.005612464,0.008045318,9.29414E-05,0.237235444,0.236571144,0.228432885,0.0006643,0.008064835,0.010616132,0.000112862,0.235387478,0.234425995,0.223697001,0.000961483,A
4,40,10,0.000163623,0.000554909,9.49283E-06,0.241228921,0.241211963,0.240647561,1.69583E-05,0.002878204,0.004279263,5.14035E-05,0.23911288,0.238778035,0.234447368,0.000334846,0.004862961,0.007216691,8.50307E-05,0.237718051,0.237136893,0.229835171,0.000581158,C
3,20,10,0.000265764,0.000806977,1.3428E-05,0.228768478,0.228768343,0.227947938,1.35574E-07,0.00469273,0.007125584,8.52684E-05,0.224983312,0.224983179,0.217772326,1.3342E-07,0.006736657,0.009287954,0.000101845,0.223145707,0.223145575,0.213755775,1.32381E-07,A
5,40,10,0.000139315,0.000530601,9.27013E-06,0.228928385,0.228928249,0.228388378,1.35666E-07,0.002410372,0.003811431,4.74343E-05,0.22684372,0.226843585,0.22298472,1.34476E-07,0.004149875,0.006503606,8.02258E-05,0.225513699,0.225513566,0.218929734,1.33692E-07,C
0,10,20,9.01985E-05,0.000157102,2.25171E-06,0.021234591,0.021234543,0.02107519,4.7769E-08,0.001364033,0.001513343,1.25476E-05,0.018438559,0.018438518,0.016912627,4.14791E-08,0.001820428,0.001972154,1.52688E-05,0.016939538,0.0169395,0.014952078,3.81069E-08,B
1,10,50,6.08306E-05,0.000111214,1.56999E-06,0.014379312,0.01437911,0.014266327,2.02172E-07,0,0.00011163,1.98612E-06,0.009911458,0.009911319,0.009797703,1.39354E-07,0,0.000112361,2.01406E-06,0.009911458,0.009911319,0.009796944,1.39354E-07,B
2,10,80,5.36071E-05,0.000104771,1.47579E-06,0.012915414,0.01291495,0.012808703,4.64869E-07,0,0.000113373,2.02137E-06,0.009911458,0.009911102,0.009795708,3.56747E-07,0,0.000114156,2.04963E-06,0.009911458,0.009911102,0.009794896,3.56747E-07,B
3,10,100,2.81654E-05,6.17317E-05,8.2957E-07,0.006938474,0.006938084,0.006875523,3.90217E-07,0,7.32859E-05,1.22705E-06,0.005946875,0.005946541,0.005872028,3.3445E-07,0,7.23122E-05,1.24414E-06,0.005946875,0.005946541,0.005872984,3.3445E-07,B
4,20,20,4.67293E-05,9.3388E-05,1.45421E-06,0.021317308,0.02131726,0.021222418,4.79551E-08,0.000777307,0.000924006,8.99733E-06,0.019941675,0.01994163,0.019008627,4.48605E-08,0.001062997,0.001210917,1.07312E-05,0.019251916,0.019251873,0.018030225,4.33088E-08,B
5,20,50,3.24277E-05,6.7631E-05,1.03178E-06,0.014748586,0.014748378,0.014679716,2.07364E-07,0,0.000110708,1.9581E-06,0.009911458,0.009911319,0.009798653,1.39354E-07,0,0.000111154,1.97096E-06,0.009911458,0.009911319,0.009798194,1.39354E-07,B
6,20,80,3.03078E-05,6.60508E-05,1.00343E-06,0.013860755,0.013860256,0.013793201,4.98895E-07,0,0.000112398,1.99303E-06,0.009911458,0.009911102,0.00979671,3.56747E-07,0,0.000112869,2.00603E-06,0.009911458,0.009911102,0.009796227,3.56747E-07,B
7,20,100,1.69568E-05,4.04997E-05,5.83483E-07,0.007824731,0.007824291,0.007783208,4.4006E-07,0,7.40733E-05,1.20992E-06,0.005946875,0.005946541,0.005871257,3.3445E-07,0,7.37355E-05,1.21778E-06,0.005946875,0.005946541,0.005871587,3.3445E-07,B
8,40,20,2.40152E-05,5.76128E-05,9.67362E-07,0.021369898,0.02136985,0.02131127,4.80734E-08,0.000410952,0.000541458,6.00629E-06,0.020693234,0.020693187,0.020145723,4.65512E-08,0.000693284,0.000839638,8.48596E-06,0.020132547,0.020132502,0.019284378,4.52899E-08,B
9,40,50,1.69574E-05,4.22898E-05,6.93915E-07,0.014983364,0.014983153,0.014940169,2.10665E-07,0.000226128,0.000324208,3.6199E-06,0.011962538,0.01196237,0.011634541,1.68192E-07,0,0.000110577,1.95455E-06,0.009911458,0.009911319,0.009798788,1.39354E-07,B
10,40,80,1.63999E-05,4.2121E-05,6.8904E-07,0.014461786,0.014461265,0.014418455,5.20528E-07,0,9.96141E-05,1.8194E-06,0.009911458,0.009911102,0.009809668,3.56747E-07,0,0.000112261,1.98943E-06,0.009911458,0.009911102,0.009796851,3.56747E-07,B
11,40,100,9.49575E-06,2.64154E-05,4.08785E-07,0.008388198,0.008387726,0.008360902,4.71749E-07,0,6.50732E-05,1.10454E-06,0.005946875,0.005946541,0.005880363,3.3445E-07,0,7.41598E-05,1.20775E-06,0.005946875,0.005946541,0.005871173,3.3445E-07,B
0,10,20,0.000192774,0.000349876,3.47832E-06,0.021234543,0.021134802,0.020781448,9.97415E-05,0.003092444,0.004605787,3.22238E-05,0.018438518,0.016707184,0.012069173,0.001731333,0.004097207,0.006069361,4.13379E-05,0.0169395,0.014555804,0.008445105,0.002383697,D
1,10,50,0.000132049,0.000243263,2.41008E-06,0.01437911,0.013956982,0.013711309,0.000422129,0.001812847,0.001924477,1.35188E-05,0.009911319,0.004094759,0.002156764,0.00581656,0.002716584,0.002828945,1.9296E-05,0.009911319,0.001194423,-0.001653818,0.008716896,D
2,10,80,0.000119955,0.000224726,2.23871E-06,0.01291495,0.011944338,0.011717374,0.000970612,0.001833847,0.00194722,1.36843E-05,0.009911102,-0.004978964,-0.006939868,0.014890066,0.002748038,0.002862194,1.95266E-05,0.009911102,-0.012403663,-0.015285384,0.022314765,D
3,10,100,6.48907E-05,0.000126622,1.24217E-06,0.006938084,0.006123357,0.005995492,0.000814727,0.001107843,0.001181129,8.27086E-06,0.005946541,-0.008012613,-0.009202013,0.013959154,0.001660522,0.001732834,1.18019E-05,0.005946541,-0.014973128,-0.016717764,0.020919668,D
